# tier<TAB>weight<TAB>live-proven item id
discovery	6	recased:weapon_loot_case
discovery	6	recased:armor_loot_case
discovery	6	recased:tool_loot_case
discovery	5	recased:food_loot_case
discovery	4	recased:potion_loot_case
discovery	4	recased:enchantment_loot_case
discovery	7	pelagic_prehistory:fossil
discovery	5	pelagic_prehistory:ancient_sediment_fossil
discovery	4	pelagic_prehistory:ancient_sediment_tablets
discovery	6	shineals_prehistoric_expansion:ammonite_shell
discovery	3	shineals_prehistoric_expansion:dodo_skeleton
discovery	2	shineals_prehistoric_expansion:anurognathus_skeleton
discovery	2	shineals_prehistoric_expansion:anomalocaris_skeleton
discovery	2	shineals_prehistoric_expansion:opabinia_skeleton
discovery	5	aquaculture:message_in_a_bottle
discovery	3	aquaculture:note_hook
discovery	3	fishofthieves:gilded_oak_fish_plaque
discovery	2	fishofthieves:golden_frame_oak_fish_plaque
discovery	4	species:ancient_pinecone
discovery	3	tameablebeasts:beetle_gem
discovery	3	immersive_aircraft:propeller
discovery	4	waystones:warp_dust
rare	5	losttrinkets:luck_coin
rare	3	losttrinkets:miners_pick
rare	2	losttrinkets:blaze_heart
rare	5	aquaculture:double_hook
rare	3	aquaculture:nether_star_hook
rare	3	aquaculture:tackle_box
rare	3	aquaculture:neptunium_ingot
rare	4	species:ichor_bottle
rare	3	species:petrified_egg
rare	4	shineals_prehistoric_expansion:therizinosaurus_claw
rare	4	shineals_prehistoric_expansion:jaekelopterus_claw
rare	3	shineals_prehistoric_expansion:utahraptor_skeleton
rare	3	shineals_prehistoric_expansion:dimorphodon_skeleton
rare	3	shineals_prehistoric_expansion:sickle
rare	3	waystones:warp_stone
jackpot	3	losttrinkets:ruby_heart
jackpot	2	simplyswords:runic_rapier
jackpot	2	simplyswords:runic_katana
jackpot	2	simplyswords:runic_spear
jackpot	2	aquaculture:neptunium_fishing_rod
jackpot	1	aquaculture:diamond_fishing_rod
jackpot	1	shineals_prehistoric_expansion:ankh
